;Simbolico pasaportes

I0.0;S900; EMERGENCIA ARMARIO ACTUADA
O2.2;K732;ENTRADA ENCAJADORA

O2.3;K981;PUENTEAR PUERTA IZQUIERDA

O2.4;K982;PUENTEAR PUERTA DERECHA

O2.5;Output2.5;Output2.5

O2.6;Y085;VALVULA GENERAL AIRE

O2.7;Output2.7;Output2.7

O3.0;Y303_010;VALVULA EMPUJADOR PINZA

O3.1;Y501;GIRO PINZA TRABAJO

O3.2;Y502_010;GIRO PINZA REPOSO

O3.3;Y503;GIRO PINZA INTERMEDIO

O3.4;Y401A;PINZA TRABAJO

O3.5;Y401B;PINZA REPOSO

O3.6;Output3.6;Output3.6

O3.7;Output3.7;Output3.7

O4.0;K952A;MARCHA VARIADOR MESA AGRUPADO

O4.1;K952B;SELECCIÓN VELOCIDAD VARIADOR MESA AGRUPADO

O4.2;K953A;MARCHA VARIADOR BANDA FAJADO

O4.3;K954B; SELECCIÓN VELOCIDAD VARIADOR MESA AGRUPADO

O4.4;Output4.4;Output4.4

O4.5;Output4.5;Output4.5

O4.6;Output4.6;Output4.6

O4.7;Output4.7;Output4.7

O5.0;Output5.0;Output5.0

O5.1;Output5.1;Output5.1

O5.2;Output5.2;Output5.2

O5.3;Output5.3;Output5.3

O5.4;Output5.4;Output5.4

O5.5;Output5.5;Output5.5

O5.6;Output5.6;Output5.6

O5.7;Output5.7;Output5.7

O6.0;Output6.0;Output6.0

O6.1;Output6.1;Output6.1

O6.2;Output6.2;Output6.2

O6.3;Output6.3;Output6.3

O6.4;Output6.4;Output6.4

O6.5;Output6.5;Output6.5

O6.6;Output6.6;Output6.6

O6.7;Output6.7;Output6.7

O7.0;Output7.0;Output7.0

O7.1;Output7.1;Output7.1

O7.2;Output7.2;Output7.2

O7.3;Output7.3;Output7.3

O7.4;Output7.4;Output7.4

O7.5;Output7.5;Output7.5

O7.6;Output7.6;Output7.6

O7.7;Output7.7;Output7.7

O8.0;Output8.0;Output8.0

O8.1;Output8.1;Output8.1

O8.2;Output8.2;Output8.2

O8.3;Output8.3;Output8.3

O8.4;Output8.4;Output8.4

O8.5;Output8.5;Output8.5

O8.6;Output8.6;Output8.6

O8.7;Output8.7;Output8.7

O9.0;Output9.0;Output9.0

O9.1;Output9.1;Output9.1

O9.2;Output9.2;Output9.2

O9.3;Output9.3;Output9.3

O9.4;Output9.4;Output9.4

O9.5;Output9.5;Output9.5

O9.6;Output9.6;Output9.6

O9.7;Output9.7;Output9.7

O10.0;Output10.0;Output10.0

O10.1;Output10.1;Output10.1

O10.2;Output10.2;Output10.2

O10.3;Output10.3;Output10.3

O10.4;Output10.4;Output10.4

O10.5;Output10.5;Output10.5

O10.6;Output10.6;Output10.6

O10.7;Output10.7;Output10.7

O11.0;Output11.0;Output11.0

O11.1;Output11.1;Output11.1

O11.2;Output11.2;Output11.2

O11.3;Output11.3;Output11.3

O11.4;Output11.4;Output11.4

O11.5;Output11.5;Output11.5

O11.6;Output11.6;Output11.6

O11.7;Output11.7;Output11.7

O12.0;Output12.0;Output12.0

O12.1;Output12.1;Output12.1

O12.2;Output12.2;Output12.2

O12.3;Output12.3;Output12.3

O12.4;Output12.4;Output12.4

O12.5;Output12.5;Output12.5

O12.6;Output12.6;Output12.6

O12.7;Output12.7;Output12.7

O13.0;Output13.0;Output13.0

O13.1;Output13.1;Output13.1

O13.2;Output13.2;Output13.2

O13.3;Output13.3;Output13.3

O13.4;Output13.4;Output13.4

O13.5;Output13.5;Output13.5

O13.6;Output13.6;Output13.6

O13.7;Output13.7;Output13.7

O14.0;Output14.0;Output14.0

O14.1;Output14.1;Output14.1

O14.2;Output14.2;Output14.2

O14.3;Output14.3;Output14.3

O14.4;Output14.4;Output14.4

O14.5;Output14.5;Output14.5

O14.6;Output14.6;Output14.6

O14.7;Output14.7;Output14.7

O15.0;Output15.0;Output15.0

O15.1;Output15.1;Output15.1

O15.2;Output15.2;Output15.2

O15.3;Output15.3;Output15.3

O15.4;Output15.4;Output15.4

O15.5;Output15.5;Output15.5

O15.6;Output15.6;Output15.6

O15.7;Output15.7;Output15.7

O16.0;Output16.0;Output16.0

O16.1;Output16.1;Output16.1

O16.2;Output16.2;Output16.2

O16.3;Output16.3;Output16.3

O16.4;Output16.4;Output16.4

O16.5;Output16.5;Output16.5

O16.6;Output16.6;Output16.6

O16.7;Output16.7;Output16.7

O17.0;Output17.0;Output17.0

O17.1;Output17.1;Output17.1

O17.2;Output17.2;Output17.2

O17.3;Output17.3;Output17.3

O17.4;Output17.4;Output17.4

O17.5;Output17.5;Output17.5

O17.6;Output17.6;Output17.6

O17.7;Output17.7;Output17.7

O18.0;Output18.0;Output18.0

O18.1;Output18.1;Output18.1

O18.2;Output18.2;Output18.2

O18.3;Output18.3;Output18.3

O18.4;Output18.4;Output18.4

O18.5;Output18.5;Output18.5

O18.6;Output18.6;Output18.6

O18.7;Output18.7;Output18.7

O19.0;Output19.0;Output19.0

O19.1;Output19.1;Output19.1

O19.2;Output19.2;Output19.2

O19.3;Output19.3;Output19.3

O19.4;Output19.4;Output19.4

O19.5;Output19.5;Output19.5

O19.6;Output19.6;Output19.6

O19.7;Output19.7;Output19.7

O20.0;Output20.0;Output20.0

O20.1;Output20.1;Output20.1

O20.2;Output20.2;Output20.2

O20.3;Output20.3;Output20.3

O20.4;Output20.4;Output20.4

O20.5;Output20.5;Output20.5

O20.6;Output20.6;Output20.6

O20.7;Output20.7;Output20.7

O21.0;Output21.0;Output21.0

O21.1;Output21.1;Output21.1

O21.2;Output21.2;Output21.2

O21.3;Output21.3;Output21.3

O21.4;Output21.4;Output21.4

O21.5;Output21.5;Output21.5

O21.6;Output21.6;Output21.6

O21.7;Output21.7;Output21.7

O22.0;Output22.0;Output22.0

O22.1;Output22.1;Output22.1

O22.2;Output22.2;Output22.2

O22.3;Output22.3;Output22.3

O22.4;Output22.4;Output22.4

O22.5;Output22.5;Output22.5

O22.6;Output22.6;Output22.6

O22.7;Output22.7;Output22.7

O23.0;Output23.0;Output23.0

O23.1;Output23.1;Output23.1

O23.2;Output23.2;Output23.2

O23.3;Output23.3;Output23.3

O23.4;Output23.4;Output23.4

O23.5;Output23.5;Output23.5

O23.6;Output23.6;Output23.6

O23.7;Output23.7;Output23.7

O24.0;Output24.0;Output24.0

O24.1;Output24.1;Output24.1

O24.2;Output24.2;Output24.2

O24.3;Output24.3;Output24.3

O24.4;Output24.4;Output24.4

O24.5;Output24.5;Output24.5

O24.6;Output24.6;Output24.6

O24.7;Output24.7;Output24.7

O25.0;Output25.0;Output25.0

O25.1;Output25.1;Output25.1

O25.2;Output25.2;Output25.2

O25.3;Output25.3;Output25.3

O25.4;Output25.4;Output25.4

O25.5;Output25.5;Output25.5

O25.6;Output25.6;Output25.6

O25.7;Output25.7;Output25.7

O26.0;Output26.0;Output26.0

O26.1;Output26.1;Output26.1

O26.2;Output26.2;Output26.2

O26.3;Output26.3;Output26.3

O26.4;Output26.4;Output26.4

O26.5;Output26.5;Output26.5

O26.6;Output26.6;Output26.6

O26.7;Output26.7;Output26.7

O27.0;Output27.0;Output27.0

O27.1;Output27.1;Output27.1

O27.2;Output27.2;Output27.2

O27.3;Output27.3;Output27.3

O27.4;Output27.4;Output27.4

O27.5;Output27.5;Output27.5

O27.6;Output27.6;Output27.6

O27.7;Output27.7;Output27.7

O28.0;Output28.0;Output28.0

O28.1;Output28.1;Output28.1

O28.2;Output28.2;Output28.2

O28.3;Output28.3;Output28.3

O28.4;Output28.4;Output28.4

O28.5;Output28.5;Output28.5

O28.6;Output28.6;Output28.6

O28.7;Output28.7;Output28.7

O29.0;Output29.0;Output29.0

O29.1;Output29.1;Output29.1

O29.2;Output29.2;Output29.2

O29.3;Output29.3;Output29.3

O29.4;Output29.4;Output29.4

O29.5;Output29.5;Output29.5

O29.6;Output29.6;Output29.6

O29.7;Output29.7;Output29.7

O30.0;Output30.0;Output30.0

O30.1;Output30.1;Output30.1

O30.2;Output30.2;Output30.2

O30.3;Output30.3;Output30.3

O30.4;Output30.4;Output30.4

O30.5;Output30.5;Output30.5

O30.6;Output30.6;Output30.6

O30.7;Output30.7;Output30.7

O31.0;Output31.0;Output31.0

O31.1;Output31.1;Output31.1

O31.2;Output31.2;Output31.2

O31.3;Output31.3;Output31.3

O31.4;Output31.4;Output31.4

O31.5;Output31.5;Output31.5

O31.6;Output31.6;Output31.6

O31.7;Output31.7;Output31.7

O32.0;Output32.0;Output32.0

O32.1;Output32.1;Output32.1

O32.2;Output32.2;Output32.2

O32.3;Output32.3;Output32.3

O32.4;Output32.4;Output32.4

O32.5;Output32.5;Output32.5

O32.6;Output32.6;Output32.6

O32.7;Output32.7;Output32.7

O33.0;Output33.0;Output33.0

O33.1;Output33.1;Output33.1

O33.2;Output33.2;Output33.2

O33.3;Output33.3;Output33.3

O33.4;Output33.4;Output33.4

O33.5;Output33.5;Output33.5

O33.6;Output33.6;Output33.6

O33.7;Output33.7;Output33.7

O34.0;Output34.0;Output34.0

O34.1;Output34.1;Output34.1

O34.2;Output34.2;Output34.2

O34.3;Output34.3;Output34.3

O34.4;Output34.4;Output34.4

O34.5;Output34.5;Output34.5

O34.6;Output34.6;Output34.6

O34.7;Output34.7;Output34.7

O35.0;Output35.0;Output35.0

O35.1;Output35.1;Output35.1

O35.2;Output35.2;Output35.2

O35.3;Output35.3;Output35.3

O35.4;Output35.4;Output35.4

O35.5;Output35.5;Output35.5

O35.6;Output35.6;Output35.6

O35.7;Output35.7;Output35.7

O36.0;Output36.0;Output36.0

O36.1;Output36.1;Output36.1

O36.2;Output36.2;Output36.2

O36.3;Output36.3;Output36.3

O36.4;Output36.4;Output36.4

O36.5;Output36.5;Output36.5

O36.6;Output36.6;Output36.6

O36.7;Output36.7;Output36.7

O37.0;Output37.0;Output37.0

O37.1;Output37.1;Output37.1

O37.2;Output37.2;Output37.2

O37.3;Output37.3;Output37.3

O37.4;Output37.4;Output37.4

O37.5;Output37.5;Output37.5

O37.6;Output37.6;Output37.6

O37.7;Output37.7;Output37.7

O38.0;Output38.0;Output38.0

O38.1;Output38.1;Output38.1

O38.2;Output38.2;Output38.2

O38.3;Output38.3;Output38.3

O38.4;Output38.4;Output38.4

O38.5;Output38.5;Output38.5

O38.6;Output38.6;Output38.6

O38.7;Output38.7;Output38.7

O39.0;Output39.0;Output39.0

O39.1;Output39.1;Output39.1

O39.2;Output39.2;Output39.2

O39.3;Output39.3;Output39.3

O39.4;Output39.4;Output39.4

O39.5;Output39.5;Output39.5

O39.6;Output39.6;Output39.6

O39.7;Output39.7;Output39.7

O40.0;Output40.0;Output40.0

O40.1;Output40.1;Output40.1

O40.2;Output40.2;Output40.2

O40.3;Output40.3;Output40.3

O40.4;Output40.4;Output40.4

O40.5;Output40.5;Output40.5

O40.6;Output40.6;Output40.6

O40.7;Output40.7;Output40.7

O41.0;Output41.0;Output41.0

O41.1;Output41.1;Output41.1

O41.2;Output41.2;Output41.2

O41.3;Output41.3;Output41.3

O41.4;Output41.4;Output41.4

O41.5;Output41.5;Output41.5

O41.6;Output41.6;Output41.6

O41.7;Output41.7;Output41.7

O42.0;Output42.0;Output42.0

O42.1;Output42.1;Output42.1

O42.2;Output42.2;Output42.2

O42.3;Output42.3;Output42.3

O42.4;Output42.4;Output42.4

O42.5;Output42.5;Output42.5

O42.6;Output42.6;Output42.6

O42.7;Output42.7;Output42.7

O43.0;Output43.0;Output43.0

O43.1;Output43.1;Output43.1

O43.2;Output43.2;Output43.2

O43.3;Output43.3;Output43.3

O43.4;Output43.4;Output43.4

O43.5;Output43.5;Output43.5

O43.6;Output43.6;Output43.6

O43.7;Output43.7;Output43.7

O44.0;Output44.0;Output44.0

O44.1;Output44.1;Output44.1

O44.2;Output44.2;Output44.2

O44.3;Output44.3;Output44.3

O44.4;Output44.4;Output44.4

O44.5;Output44.5;Output44.5

O44.6;Output44.6;Output44.6

O44.7;Output44.7;Output44.7

O45.0;Output45.0;Output45.0

O45.1;Output45.1;Output45.1

O45.2;Output45.2;Output45.2

O45.3;Output45.3;Output45.3

O45.4;Output45.4;Output45.4

O45.5;Output45.5;Output45.5

O45.6;Output45.6;Output45.6

O45.7;Output45.7;Output45.7

O46.0;Output46.0;Output46.0

O46.1;Output46.1;Output46.1

O46.2;Output46.2;Output46.2

O46.3;Output46.3;Output46.3

O46.4;Output46.4;Output46.4

O46.5;Output46.5;Output46.5

O46.6;Output46.6;Output46.6

O46.7;Output46.7;Output46.7

O47.0;Output47.0;Output47.0

O47.1;Output47.1;Output47.1

O47.2;Output47.2;Output47.2

O47.3;Output47.3;Output47.3

O47.4;Output47.4;Output47.4

O47.5;Output47.5;Output47.5

O47.6;Output47.6;Output47.6

O47.7;Output47.7;Output47.7

O48.0;Output48.0;Output48.0

O48.1;Output48.1;Output48.1

O48.2;Output48.2;Output48.2

O48.3;Output48.3;Output48.3

O48.4;Output48.4;Output48.4

O48.5;Output48.5;Output48.5

O48.6;Output48.6;Output48.6

O48.7;Output48.7;Output48.7

O49.0;Output49.0;Output49.0

O49.1;Output49.1;Output49.1

O49.2;Output49.2;Output49.2

O49.3;Output49.3;Output49.3

O49.4;Output49.4;Output49.4

O49.5;Output49.5;Output49.5

O49.6;Output49.6;Output49.6

O49.7;Output49.7;Output49.7

O50.0;R101 Izq.; Completar posicion 1-1 Izq.

O50.1;R201 Izq.; Completar posicion 2-1 Izq.

O50.2;R301 Izq.; Completar posicion 3-1 Izq.

O50.3;R401 Izq.; Completar posicion 4-1 Izq.

O50.4;R501 Izq.; Completar posicion 5-1 Izq.

O50.5;R601 Izq.; Completar posicion 6-1 Izq.

O50.6;R701 Izq.; Completar posicion 7-1 Izq.

O50.7;R801 Izq.; Completar posicion 8-1 Izq.

O51.0;R102 Izq.; Completar posicion 1-2 Izq.

O51.1;R202 Izq.; Completar posicion 2-2 Izq.

O51.2;R302 Izq.; Completar posicion 3-2 Izq.

O51.3;R402 Izq.; Completar posicion 4-2 Izq.

O51.4;R502 Izq.; Completar posicion 5-2 Izq.

O51.5;R602 Izq.; Completar posicion 6-2 Izq.

O51.6;R702 Izq.; Completar posicion 7-2 Izq.

O51.7;R802 Izq.; Completar posicion 8-2 Izq.

O52.0;R103 Izq.; Completar posicion 1-3 Izq.

O52.1;R203 Izq.; Completar posicion 2-3 Izq.

O52.2;R303 Izq.; Completar posicion 3-3 Izq.

O52.3;R403 Izq.; Completar posicion 4-3 Izq.

O52.4;R503 Izq.; Completar posicion 5-3 Izq.

O52.5;R603 Izq.; Completar posicion 6-3 Izq.

O52.6;R703 Izq.; Completar posicion 7-3 Izq.

O52.7;R803 Izq.; Completar posicion 8-3 Izq.

O53.0;R104 Izq.; Completar posicion 1-4 Izq.

O53.1;R204 Izq.; Completar posicion 2-4 Izq.

O53.2;R304 Izq.; Completar posicion 3-4 Izq.

O53.3;R404 Izq.; Completar posicion 4-4 Izq.

O53.4;R504 Izq.; Completar posicion 5-4 Izq.

O53.5;R604 Izq.; Completar posicion 6-4 Izq.

O53.6;R704 Izq.; Completar posicion 7-4 Izq.

O53.7;R804 Izq.; Completar posicion 8-4 Izq.

O54.0;R105 Izq.; Completar posicion 1-5 Izq.

O54.1;R205 Izq.; Completar posicion 2-5 Izq.

O54.2;R305 Izq.; Completar posicion 3-5 Izq.

O54.3;R405 Izq.; Completar posicion 4-5 Izq.

O54.4;R505 Izq.; Completar posicion 5-5 Izq.

O54.5;R605 Izq.; Completar posicion 6-5 Izq.

O54.6;R705 Izq.; Completar posicion 7-5 Izq.

O54.7;R805 Izq.; Completar posicion 8-5 Izq.

O55.0;R106 Izq.; Completar posicion 1-6 Izq.

O55.1;R206 Izq.; Completar posicion 2-6 Izq.

O55.2;R306 Izq.; Completar posicion 3-6 Izq.

O55.3;R406 Izq.; Completar posicion 4-6 Izq.

O55.4;R506 Izq.; Completar posicion 5-6 Izq.

O55.5;R606 Izq.; Completar posicion 6-6 Izq.

O55.6;R706 Izq.; Completar posicion 7-6 Izq.

O55.7;R806 Izq.; Completar posicion 8-6 Izq.

O56.0;R107 Izq.; Completar posicion 1-7 Izq.

O56.1;R207 Izq.; Completar posicion 2-7 Izq.

O56.2;R307 Izq.; Completar posicion 3-7 Izq.

O56.3;R407 Izq.; Completar posicion 4-7 Izq.

O56.4;R507 Izq.; Completar posicion 5-7 Izq.

O56.5;R607 Izq.; Completar posicion 6-7 Izq.

O56.6;R707 Izq.; Completar posicion 7-7 Izq.

O56.7;R807 Izq.; Completar posicion 8-7 Izq.

O57.0;R108 Izq.; Completar posicion 1-8 Izq.

O57.1;R208 Izq.; Completar posicion 2-8 Izq.

O57.2;R308 Izq.; Completar posicion 3-8 Izq.

O57.3;R408 Izq.; Completar posicion 4-8 Izq.

O57.4;R508 Izq.; Completar posicion 5-8 Izq.

O57.5;R608 Izq.; Completar posicion 6-8 Izq.

O57.6;R708 Izq.; Completar posicion 7-8 Izq.

O57.7;R808 Izq.; Completar posicion 8-8 Izq.

O58.0;R109 Izq.; Completar posicion 1-9 Izq.

O58.1;R209 Izq.; Completar posicion 2-9 Izq.

O58.2;R309 Izq.; Completar posicion 3-9 Izq.

O58.3;R409 Izq.; Completar posicion 4-9 Izq.

O58.4;R509 Izq.; Completar posicion 5-9 Izq.

O58.5;R609 Izq.; Completar posicion 6-9 Izq.

O58.6;R709 Izq.; Completar posicion 7-9 Izq.

O58.7;R809 Izq.; Completar posicion 8-9 Izq.

O59.0;R110 Izq.; Completar posicion 1-10 Izq.

O59.1;R210 Izq.; Completar posicion 2-10 Izq.

O59.2;R310 Izq.; Completar posicion 3-10 Izq.

O59.3;R410 Izq.; Completar posicion 4-10 Izq.

O59.4;R510 Izq.; Completar posicion 5-10 Izq.

O59.5;R610 Izq.; Completar posicion 6-10 Izq.

O59.6;R710 Izq.; Completar posicion 7-10 Izq.

O59.7;R810 Izq.; Completar posicion 8-10 Izq.

O60.0;R111 Izq.; Completar posicion 1-11 Izq.

O60.1;R211 Izq.; Completar posicion 2-11 Izq.

O60.2;R311 Izq.; Completar posicion 3-11 Izq.

O60.3;R411 Izq.; Completar posicion 4-11 Izq.

O60.4;R511 Izq.; Completar posicion 5-11 Izq.

O60.5;R611 Izq.; Completar posicion 6-11 Izq.

O60.6;R711 Izq.; Completar posicion 7-11 Izq.

O60.7;R811 Izq.; Completar posicion 8-11 Izq.

O61.0;R112 Izq.; Completar posicion 1-12 Izq.

O61.1;R212 Izq.; Completar posicion 2-12 Izq.

O61.2;R312 Izq.; Completar posicion 3-12 Izq.

O61.3;R412 Izq.; Completar posicion 4-12 Izq.

O61.4;R512 Izq.; Completar posicion 5-12 Izq.

O61.5;R612 Izq.; Completar posicion 6-12 Izq.

O61.6;R712 Izq.; Completar posicion 7-12 Izq.

O61.7;R812 Izq.; Completar posicion 8-12 Izq.

O62.0;R113 Izq.; Completar posicion 1-13 Izq.

O62.1;R213 Izq.; Completar posicion 2-13 Izq.

O62.2;R313 Izq.; Completar posicion 3-13 Izq.

O62.3;R413 Izq.; Completar posicion 4-13 Izq.

O62.4;R513 Izq.; Completar posicion 5-13 Izq.

O62.5;R613 Izq.; Completar posicion 6-13 Izq.

O62.6;R713 Izq.; Completar posicion 7-13 Izq.

O62.7;R813 Izq.; Completar posicion 8-13 Izq.

O63.0;R114 Izq.; Completar posicion 1-14 Izq.

O63.1;R214 Izq.; Completar posicion 2-14 Izq.

O63.2;R314 Izq.; Completar posicion 3-14 Izq.

O63.3;R414 Izq.; Completar posicion 4-14 Izq.

O63.4;R514 Izq.; Completar posicion 5-14 Izq.

O63.5;R614 Izq.; Completar posicion 6-14 Izq.

O63.6;R714 Izq.; Completar posicion 7-14 Izq.

O63.7;R814 Izq.; Completar posicion 8-14 Izq.

O64.0;R115 Izq.; Completar posicion 1-15 Izq.

O64.1;R215 Izq.; Completar posicion 2-15 Izq.

O64.2;R315 Izq.; Completar posicion 3-15 Izq.

O64.3;R415 Izq.; Completar posicion 4-15 Izq.

O64.4;R515 Izq.; Completar posicion 5-15 Izq.

O64.5;R615 Izq.; Completar posicion 6-15 Izq.

O64.6;R715 Izq.; Completar posicion 7-15 Izq.

O64.7;R815 Izq.; Completar posicion 8-15 Izq.

O65.0;Y304;VALVULA TOPE FLEJADORA

O65.1;Y305;VALVULA EMPUJADOR ENTRADA FAJADORA

O65.2;Y306;VALVULA EMPUJADOR SALIDA FAJADORA

O65.3;Output65.3;Output65.3

O65.4;FajadoraMandoExterno; Mando externo fajadora

O65.5;Output65.5;Output65.5

O65.6;Output65.6;Output65.6

O65.7;Output65.7;Output65.7

O66.0;R101 Dch.; Completar posicion 1-1 Dch.

O66.1;R201 Dch.; Completar posicion 2-1 Dch.

O66.2;R301 Dch.; Completar posicion 3-1 Dch.

O66.3;R401 Dch.; Completar posicion 4-1 Dch.

O66.4;R501 Dch.; Completar posicion 5-1 Dch.

O66.5;R601 Dch.; Completar posicion 6-1 Dch.

O66.6;R701 Dch.; Completar posicion 7-1 Dch.

O66.7;R801 Dch.; Completar posicion 8-1 Dch.

O67.0;R102 Dch.; Completar posicion 1-2 Dch.

O67.1;R202 Dch.; Completar posicion 2-2 Dch.

O67.2;R302 Dch.; Completar posicion 3-2 Dch.

O67.3;R402 Dch.; Completar posicion 4-2 Dch.

O67.4;R502 Dch.; Completar posicion 5-2 Dch.

O67.5;R602 Dch.; Completar posicion 6-2 Dch.

O67.6;R702 Dch.; Completar posicion 7-2 Dch.

O67.7;R802 Dch.; Completar posicion 8-2 Dch.

O68.0;R103 Dch.; Completar posicion 1-3 Dch.

O68.1;R203 Dch.; Completar posicion 2-3 Dch.

O68.2;R303 Dch.; Completar posicion 3-3 Dch.

O68.3;R403 Dch.; Completar posicion 4-3 Dch.

O68.4;R503 Dch.; Completar posicion 5-3 Dch.

O68.5;R603 Dch.; Completar posicion 6-3 Dch.

O68.6;R703 Dch.; Completar posicion 7-3 Dch.

O68.7;R803 Dch.; Completar posicion 8-3 Dch.

O69.0;R104 Dch.; Completar posicion 1-4 Dch.

O69.1;R204 Dch.; Completar posicion 2-4 Dch.

O69.2;R304 Dch.; Completar posicion 3-4 Dch.

O69.3;R404 Dch.; Completar posicion 4-4 Dch.

O69.4;R504 Dch.; Completar posicion 5-4 Dch.

O69.5;R604 Dch.; Completar posicion 6-4 Dch.

O69.6;R704 Dch.; Completar posicion 7-4 Dch.

O69.7;R804 Dch.; Completar posicion 8-4 Dch.

O70.0;R105 Dch.; Completar posicion 1-5 Dch.

O70.1;R205 Dch.; Completar posicion 2-5 Dch.

O70.2;R305 Dch.; Completar posicion 3-5 Dch.

O70.3;R405 Dch.; Completar posicion 4-5 Dch.

O70.4;R505 Dch.; Completar posicion 5-5 Dch.

O70.5;R605 Dch.; Completar posicion 6-5 Dch.

O70.6;R705 Dch.; Completar posicion 7-5 Dch.

O70.7;R805 Dch.; Completar posicion 8-5 Dch.

O71.0;R106 Dch.; Completar posicion 1-6 Dch.

O71.1;R206 Dch.; Completar posicion 2-6 Dch.

O71.2;R306 Dch.; Completar posicion 3-6 Dch.

O71.3;R406 Dch.; Completar posicion 4-6 Dch.

O71.4;R506 Dch.; Completar posicion 5-6 Dch.

O71.5;R606 Dch.; Completar posicion 6-6 Dch.

O71.6;R706 Dch.; Completar posicion 7-6 Dch.

O71.7;R806 Dch.; Completar posicion 8-6 Dch.

O72.0;R107 Dch.; Completar posicion 1-7 Dch.

O72.1;R207 Dch.; Completar posicion 2-7 Dch.

O72.2;R307 Dch.; Completar posicion 3-7 Dch.

O72.3;R407 Dch.; Completar posicion 4-7 Dch.

O72.4;R507 Dch.; Completar posicion 5-7 Dch.

O72.5;R607 Dch.; Completar posicion 6-7 Dch.

O72.6;R707 Dch.; Completar posicion 7-7 Dch.

O72.7;R807 Dch.; Completar posicion 8-7 Dch.

O73.0;R108 Dch.; Completar posicion 1-8 Dch.

O73.1;R208 Dch.; Completar posicion 2-8 Dch.

O73.2;R308 Dch.; Completar posicion 3-8 Dch.

O73.3;R408 Dch.; Completar posicion 4-8 Dch.

O73.4;R508 Dch.; Completar posicion 5-8 Dch.

O73.5;R608 Dch.; Completar posicion 6-8 Dch.

O73.6;R708 Dch.; Completar posicion 7-8 Dch.

O73.7;R808 Dch.; Completar posicion 8-8 Dch.

O74.0;R109 Dch.; Completar posicion 1-9 Dch.

O74.1;R209 Dch.; Completar posicion 2-9 Dch.

O74.2;R309 Dch.; Completar posicion 3-9 Dch.

O74.3;R409 Dch.; Completar posicion 4-9 Dch.

O74.4;R509 Dch.; Completar posicion 5-9 Dch.

O74.5;R609 Dch.; Completar posicion 6-9 Dch.

O74.6;R709 Dch.; Completar posicion 7-9 Dch.

O74.7;R809 Dch.; Completar posicion 8-9 Dch.

O75.0;R110 Dch.; Completar posicion 1-10 Dch.

O75.1;R210 Dch.; Completar posicion 2-10 Dch.

O75.2;R310 Dch.; Completar posicion 3-10 Dch.

O75.3;R410 Dch.; Completar posicion 4-10 Dch.

O75.4;R510 Dch.; Completar posicion 5-10 Dch.

O75.5;R610 Dch.; Completar posicion 6-10 Dch.

O75.6;R710 Dch.; Completar posicion 7-10 Dch.

O75.7;R810 Dch.; Completar posicion 8-10 Dch.

O76.0;R111 Dch.; Completar posicion 1-11 Dch.

O76.1;R211 Dch.; Completar posicion 2-11 Dch.

O76.2;R311 Dch.; Completar posicion 3-11 Dch.

O76.3;R411 Dch.; Completar posicion 4-11 Dch.

O76.4;R511 Dch.; Completar posicion 5-11 Dch.

O76.5;R611 Dch.; Completar posicion 6-11 Dch.

O76.6;R711 Dch.; Completar posicion 7-11 Dch.

O76.7;R811 Dch.; Completar posicion 8-11 Dch.

O77.0;R112 Dch.; Completar posicion 1-12 Dch.

O77.1;R212 Dch.; Completar posicion 2-12 Dch.

O77.2;R312 Dch.; Completar posicion 3-12 Dch.

O77.3;R412 Dch.; Completar posicion 4-12 Dch.

O77.4;R512 Dch.; Completar posicion 5-12 Dch.

O77.5;R612 Dch.; Completar posicion 6-12 Dch.

O77.6;R712 Dch.; Completar posicion 7-12 Dch.

O77.7;R812 Dch.; Completar posicion 8-12 Dch.

O78.0;R113 Dch.; Completar posicion 1-13 Dch.

O78.1;R213 Dch.; Completar posicion 2-13 Dch.

O78.2;R313 Dch.; Completar posicion 3-13 Dch.

O78.3;R413 Dch.; Completar posicion 4-13 Dch.

O78.4;R513 Dch.; Completar posicion 5-13 Dch.

O78.5;R613 Dch.; Completar posicion 6-13 Dch.

O78.6;R713 Dch.; Completar posicion 7-13 Dch.

O78.7;R813 Dch.; Completar posicion 8-13 Dch.

